"","NNID","DATUM","OBA","OBA_WERT","NAME","SPRACHE","GENUS","NAME2","SPRACHE2","GENUS2","ZUSATZ","AGS","RS","HOEHE","HOEHE_GER","EWZ","EWZ_GER","GEWK","GEMTEIL","VIRTUELL","GEMEINDE","VERWGEM","KREIS","REGBEZIRK","BUNDESLAND","STAAT","GEOLA","GEOBR","GKRE","GKHO","UTMRE","UTMHO","BOX_GEO","BOX_GK","BOX_UTM"
"267","DEBKGGND00002FML","01.12.2016","AX_Gebaeude","Burg, Festung","Burg Brüggen","deutsch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nein","Nein",NA,NA,NA,NA,NA,"DE",6.18611111111111,51.2405555555556,33035786347000500,56821693988830496,3035821351249650,56803383509456704,"POLYGON ((6.17911508648264 51.2358896427588,6.17856528411598 51.244870861822,6.19287476948913 51.245215158514,6.19342179237052 51.2362338296252,6.17911508648264 51.2358896427588))","POLYGON ((3303078.44344649 5681669.19951025,3303078.43526053 5682669.58985113,3304078.82596366 5682669.59809623,3304078.83411789 5681669.20784055,3303078.44344649 5681669.19951025))","POLYGON ((303082.135124965 5679838.35094566,303082.135124965 5680838.35094566,304082.135124965 5680838.35094566,304082.135124965 5679838.35094566,303082.135124965 5679838.35094566))"
"268","DEBKGGND00002FMP","01.12.2016","AX_Gebaeude","Burg, Festung","Wasserburg Müggenburg","deutsch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nein","Nein",NA,NA,NA,NA,NA,"DE",13.6013888888889,53.7933333333333,38032003297785600,59723175454839000,8030082216898550,59703643220757896,"POLYGON ((13.5932785543219 53.7892305293496,13.5942596036375 53.7981898599313,13.6093928154946 53.7976079496388,13.6084085625412 53.7886488087673,13.5932785543219 53.7892305293496))","POLYGON ((3802700.13354065 5971817.3366086,3802700.12182938 5972817.74112548,3803700.52597756 5972817.75394581,3803700.53773525 5971817.34937003,3802700.13354065 5971817.3366086))","POLYGON ((802508.221689858 5969864.32207578,802508.221689858 5970864.32207578,803508.221689858 5970864.32207578,803508.221689858 5969864.32207578,802508.221689858 5969864.32207578))"
"269","DEBKGGND00002FMT","01.12.2016","AX_Gebaeude","Burg, Festung","Burg Scharfenberg","deutsch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nein","Nein",NA,NA,NA,NA,NA,"DE",7.98611111111111,49.1891666666667,34261783931561896,54507291335613800,4261324340837510,54489885399296400,"POLYGON ((7.97946484596101 49.1846904150898,7.97927982345835 49.1936843064041,7.99300292434533 49.1938047824161,7.99318546033909 49.1848108531282,7.97946484596101 49.1846904150898))","POLYGON ((3425678.19543889 5450228.93373067,3425678.19368855 5451229.33021168,3426678.59089284 5451229.33324963,3426678.5926003 5450228.93682748,3425678.19543889 5450228.93373067))","POLYGON ((425632.434083751 5448488.53992963,425632.434083751 5449488.53992963,426632.434083751 5449488.53992963,426632.434083751 5448488.53992963,425632.434083751 5448488.53992963))"
"270","DEBKGGND00002FNJ","01.12.2016","AX_Gebaeude","Burg, Festung","Burg Landeck","deutsch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nein","Nein",NA,NA,NA,NA,NA,"DE",8.00611111111111,49.1408333333333,34275573213536600,54453374881646400,4275108059808010,54435990263233800,"POLYGON ((7.99935413314442 49.1363827665003,7.99917302462392 49.145376788592,8.01288286366827 49.145494816708,8.01306149226024 49.136500757423,7.99935413314442 49.1363827665003))","POLYGON ((3427057.12377775 5444837.28795574,3427057.12212226 5445837.6843653,3428057.51895233 5445837.68824379,3428057.52055801 5444837.29186753,3427057.12377775 5444837.28795574))","POLYGON ((427010.805980801 5443099.02632338,427010.805980801 5444099.02632338,428010.805980801 5444099.02632338,428010.805980801 5443099.02632338,427010.805980801 5443099.02632338))"
"271","DEBKGGND00002FNU","01.12.2016","AX_Gebaeude","Burg, Festung","Burg Dinklage","deutsch",NA,NA,NA,NA,NA,NA,NA,28,NA,26,NA,NA,"Nein","Nein",NA,NA,NA,NA,NA,"DE",8.13666666666667,52.6541666666667,34416488894543400,58360318391738800,4416001214009120,58341385451356704,"POLYGON ((8.12936811516702 52.6495120953631,8.12918952398346 52.6585010137259,8.14397230074229 52.6586087163118,8.1441478610927 52.6496197631365,8.12936811516702 52.6495120953631))","POLYGON ((3441148.69764458 5835531.6329625,3441148.68316107 5836532.03068424,3442149.08126843 5836532.04527523,3442149.09574085 5835531.64755758,3441148.69764458 5835531.6329625))","POLYGON ((441100.121400913 5833638.54513568,441100.121400913 5834638.54513568,442100.121400913 5834638.54513568,442100.121400913 5833638.54513568,441100.121400913 5833638.54513568))"
"272","DEBKGGND00002FO3","01.12.2016","AX_Gebaeude","Burg, Festung","Burg Normannstein","deutsch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nein","Nein",NA,NA,NA,NA,NA,"DE",10.2375,51.1402777777778,35866722583999896,56679944306225696,5865638538032550,56661665701540296,"POLYGON ((10.2301312053881 51.1359853197159,10.2303701879392 51.1449755276574,10.2446626094059 51.1448242920667,10.2444208524841 51.1358341323775,10.2301312053881 51.1359853197159))","POLYGON ((3586172.06704156 5667494.22680916,3586172.05346763 5668494.62423659,3587172.44975128 5668494.63443443,3587172.46334355 5667494.23678875,3586172.06704156 5667494.22680916))","POLYGON ((586063.853803256 5665666.57015403,586063.853803256 5666666.57015403,587063.853803256 5666666.57015403,587063.853803256 5665666.57015403,586063.853803256 5665666.57015403))"
"273","DEBKGGND00002FOG","01.12.2016","AX_Gebaeude","Burg, Festung","Burg Greene","deutsch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nein","Nein",NA,NA,NA,NA,NA,"DE",9.93472222222222,51.8541666666667,35644664014379400,57470763698664600,5643675578805860,57452166301090296,"POLYGON ((9.92723384908181 51.8495973109467,9.92741865019419 51.858587314888,9.94193751409068 51.8584719618779,9.94174982092627 51.8494819949544,9.92723384908181 51.8495973109467))","POLYGON ((3563966.20954079 5746576.1641754,3563966.1955973 5747576.56233016,3564966.59333134 5747576.57546864,3564966.60728501 5746576.17727274,3563966.20954079 5746576.1641754))","POLYGON ((563867.557880586 5744716.63010902,563867.557880586 5745716.63010902,564867.557880586 5745716.63010902,564867.557880586 5744716.63010902,563867.557880586 5744716.63010902))"
"274","DEBKGGND00002FOM","01.12.2016","AX_Gebaeude","Burg, Festung","Burg Namedy","deutsch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nein","Nein",NA,NA,NA,NA,NA,"DE",7.35583333333333,50.4555555555556,33833192939103200,55923736344013904,3832908330533460,55905772790289208,"POLYGON ((7.34899437274332 50.4509826845867,7.34868136748672 50.4599722910332,7.36276386949169 50.460171298938,7.36307420834717 50.4511816293158,7.34899437274332 50.4509826845867))","POLYGON ((3382819.09885598 5591873.43413239,3382819.09412592 5592873.8273387,3383819.48895893 5592873.83457687,3383819.49369422 5591873.44133441,3382819.09885598 5591873.43413239))","POLYGON ((382790.833053346 5590077.27902892,382790.833053346 5591077.27902892,383790.833053346 5591077.27902892,383790.833053346 5590077.27902892,382790.833053346 5590077.27902892))"
"275","DEBKGGND00002FOT","01.12.2016","AX_Gebaeude","Burg, Festung","Grevenburg","deutsch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nein","Nein",NA,NA,NA,NA,NA,"DE",7.11555555555556,49.9455555555556,33648224466960600,55360477868571800,3648010670326780,55342736539851800,"POLYGON ((7.1087961610623 49.9408957324595,7.10844405566018 49.9498849654183,7.12237546469466 49.9501113835277,7.12272498054909 49.9411220789321,7.1087961610623 49.9408957324595))","POLYGON ((3364322.25185133 5535547.58909586,3364322.24702271 5536547.98215583,3365322.64153375 5536547.98448053,3365322.64637025 5535547.59147163,3364322.25185133 5535547.58909586))","POLYGON ((364301.067032678 5533773.65398518,364301.067032678 5534773.65398518,365301.067032678 5534773.65398518,365301.067032678 5533773.65398518,364301.067032678 5533773.65398518))"
"276","DEBKGGND00002FOV","01.12.2016","AX_Gebaeude","Burg, Festung","Burg Rheineck","deutsch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nein","Nein",NA,NA,NA,NA,NA,"DE",7.31138888888889,50.495,33802664215406000,55968402957690096,3802391885813120,55950422059139200,"POLYGON ((7.30459357197496 50.4905019894963,7.30427170018388 50.4994913308253,7.31836563238142 50.4996958263711,7.31868483204205 50.4907064201087,7.30459357197496 50.4905019894963))","POLYGON ((3379766.22589863 5596340.09601207,3379766.22080934 5597340.48898207,3380766.61681783 5597340.49550656,3380766.62197731 5596340.10242975,3379766.22589863 5596340.09601207))","POLYGON ((379739.188581313 5594542.20591392,379739.188581313 5595542.20591392,380739.188581313 5595542.20591392,380739.188581313 5594542.20591392,379739.188581313 5594542.20591392))"
